date,home_team,away_team,home_corners,away_corners,source,total_corners,over_7_5,over_8_5,over_9_5,under_10_5
2022-12-09,Netherlands,Argentina,2.0,8.0,historical:statsbomb_worldcup_corners_clean.csv,10.0,1,1,1,1
2022-12-10,Morocco,Portugal,3.0,9.0,historical:statsbomb_worldcup_corners_clean.csv,12.0,1,1,1,0
2022-12-10,England,France,5.0,2.0,historical:statsbomb_worldcup_corners_clean.csv,7.0,0,0,0,1
2022-12-13,Argentina,Croatia,2.0,4.0,historical:statsbomb_worldcup_corners_clean.csv,6.0,0,0,0,1
2022-12-14,France,Morocco,2.0,3.0,historical:statsbomb_worldcup_corners_clean.csv,5.0,0,0,0,1
2022-12-17,Croatia,Morocco,6.0,3.0,historical:statsbomb_worldcup_corners_clean.csv,9.0,1,1,0,1
2022-12-18,Argentina,France,6.0,5.0,historical:statsbomb_worldcup_corners_clean.csv,11.0,1,1,1,0
2026-06-28,South Africa,Canada,1.0,4.0,FIFA_2026_official,5.0,0,0,0,1
2026-06-29,Brazil,Japan,6.0,2.0,FIFA_2026_official,8.0,1,0,0,1
2026-06-30,Côte d'Ivoire,Norway,14.0,3.0,FIFA_2026_official,17.0,1,1,1,0
2026-06-30,France,Sweden,9.0,1.0,FIFA_2026_official,10.0,1,1,1,1
2026-06-30,Mexico,Ecuador,3.0,8.0,FIFA_2026_official,11.0,1,1,1,0
2026-07-01,England,Congo DR,5.0,3.0,FIFA_2026_official,8.0,1,0,0,1
2026-07-01,United States,Bosnia and Herzegovina,4.0,3.0,FIFA_2026_official,7.0,0,0,0,1
2026-07-02,Portugal,Croatia,9.0,5.0,FIFA_2026_official,14.0,1,1,1,0
2026-07-02,Spain,Austria,9.0,0.0,FIFA_2026_official,9.0,1,1,0,1
2026-07-02,Switzerland,Algeria,4.0,2.0,FIFA_2026_official,6.0,0,0,0,1
2026-07-03,Colombia,Ghana,3.0,2.0,FIFA_2026_official,5.0,0,0,0,1
2026-07-04,Paraguay,France,2.0,12.0,FIFA_2026_official,14.0,1,1,1,0
2026-07-04,Canada,Morocco,11.0,1.0,FIFA_2026_official,12.0,1,1,1,0
2026-07-05,Brazil,Norway,5.0,5.0,FIFA_2026_official,10.0,1,1,1,1
2026-07-05,Mexico,England,12.0,2.0,FIFA_2026_official,14.0,1,1,1,0
2026-07-06,Portugal,Spain,3.0,7.0,FIFA_2026_official,10.0,1,1,1,1
2026-07-06,United States,Belgium,3.0,5.0,FIFA_2026_official,8.0,1,0,0,1
2026-07-07,Argentina,Egypt,6.0,1.0,FIFA_2026_official,7.0,0,0,0,1
2026-07-09,France,Morocco,5.0,5.0,FIFA_2026_official,10.0,1,1,1,1
2026-07-10,Spain,Belgium,5.0,1.0,FIFA_2026_official,6.0,0,0,0,1
2026-07-14,France,Spain,7.0,1.0,FIFA_2026_official,8.0,1,0,0,1
