source,competition,season,stage,match_id,date,home_team,away_team,home_score,away_score,home_corners,away_corners,total_corners,over_7_5,over_8_5,over_9_5,over_10_5
statsbomb,FIFA World Cup,2018,Group Stage,7540,2018-06-19,Russia,Egypt,3,1,7,4,11,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7531,2018-06-16,Argentina,Iceland,1,1,10,2,12,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7570,2018-06-28,England,Belgium,0,1,7,2,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Round of 16,7586,2018-07-03,Sweden,Switzerland,1,0,3,11,14,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7557,2018-06-25,Iran,Portugal,1,1,0,5,5,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7542,2018-06-20,Portugal,Morocco,1,0,5,7,12,1,1,1,1
statsbomb,FIFA World Cup,2018,Semi-finals,8656,2018-07-11,Croatia,England,2,1,8,4,12,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7548,2018-06-22,Brazil,Costa Rica,2,0,10,1,11,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7578,2018-06-15,Egypt,Uruguay,0,1,0,5,5,0,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7553,2018-06-23,South Korea,Mexico,1,2,7,4,11,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7536,2018-06-18,Belgium,Panama,3,0,9,3,12,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7555,2018-06-24,Poland,Colombia,0,3,7,5,12,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7576,2018-06-15,Portugal,Spain,3,3,3,5,8,1,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7565,2018-06-27,Serbia,Brazil,0,2,5,8,13,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7551,2018-06-23,Germany,Sweden,2,1,5,3,8,1,0,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7537,2018-06-18,Tunisia,England,1,2,2,7,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Round of 16,7580,2018-06-30,France,Argentina,4,3,0,4,4,0,0,0,0
statsbomb,FIFA World Cup,2018,Round of 16,7581,2018-07-01,Croatia,Denmark,1,1,5,4,9,1,1,0,0
statsbomb,FIFA World Cup,2018,Group Stage,7549,2018-06-22,Nigeria,Iceland,2,0,6,5,11,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7529,2018-06-16,Croatia,Nigeria,2,0,6,4,10,1,1,1,0
statsbomb,FIFA World Cup,2018,Group Stage,7562,2018-06-26,Australia,Peru,0,2,8,3,11,1,1,1,1
statsbomb,FIFA World Cup,2018,Group Stage,7571,2018-06-28,Senegal,Colombia,0,1,1,3,4,0,0,0,0
